Er;Erx;Ery;Jr;Jrc;Jrcx;Jrcy;Jrx;Jry;V;X;Y;gamma;pj;t;
2.94199;2.94198;-0.00575954;0.294199;0.294199;0.294198;-0.000575954;0.294198;-0.000575954;0.00215175;-0.000807615;0;0.1;0.865528;0;
2.90429;2.90429;-0.00386645;0.290429;0.290429;0.290429;-0.000386645;0.290429;-0.000386645;0.00214003;-0.000803607;0;0.1;0.843491;0;
2.8666;2.8666;-0.00197335;0.28666;0.28666;0.28666;-0.000197335;0.28666;-0.000197335;0.00212847;-0.000799599;0;0.1;0.821739;0;
2.82891;2.82891;-8.02568e-05;0.282891;0.282891;0.282891;-8.02568e-06;0.282891;-8.02568e-06;0.00211705;-0.000795591;0;0.1;0.800271;0;
2.79122;2.79121;0.00181284;0.279122;0.279122;0.279121;0.000181284;0.279121;0.000181284;0.00210579;-0.000791583;0;0.1;0.779088;0;
2.75353;2.75352;0.00370593;0.275353;0.275353;0.275352;0.000370593;0.275352;0.000370593;0.00209468;-0.000787575;0;0.1;0.75819;0;
2.71584;2.71583;0.00559903;0.271584;0.271584;0.271583;0.000559903;0.271583;0.000559903;0.00208372;-0.000783567;0;0.1;0.737577;0;
2.67815;2.67814;0.00749212;0.267815;0.267815;0.267814;0.000749212;0.267814;0.000749212;0.00207291;-0.000779559;0;0.1;0.717249;0;
2.64896;2.64889;-0.0192668;0.264896;0.264896;0.264889;-0.00192668;0.264889;-0.00192668;0.00206222;-0.000775551;0;0.1;0.701697;0;
2.62052;2.62045;-0.0177765;0.262052;0.262052;0.262045;-0.00177765;0.262045;-0.00177765;0.00205166;-0.000771543;0;0.1;0.68671;0;
2.59208;2.59202;-0.0162861;0.259208;0.259208;0.259202;-0.00162861;0.259202;-0.00162861;0.00204121;-0.000767535;0;0.1;0.671885;0;
2.56364;2.56359;-0.0147958;0.256364;0.256364;0.256359;-0.00147958;0.256359;-0.00147958;0.00203088;-0.000763527;0;0.1;0.657223;0;
2.5352;2.53516;-0.0133054;0.25352;0.25352;0.253516;-0.00133054;0.253516;-0.00133054;0.00202066;-0.000759519;0;0.1;0.642723;0;
2.50676;2.50673;-0.0118151;0.250676;0.250676;0.250673;-0.00118151;0.250673;-0.00118151;0.00201056;-0.000755511;0;0.1;0.628384;0;
2.47832;2.4783;-0.0103248;0.247832;0.247832;0.24783;-0.00103248;0.24783;-0.00103248;0.00200057;-0.000751503;0;0.1;0.614208;0;
2.44989;2.44987;-0.00883442;0.244989;0.244989;0.244987;-0.000883442;0.244987;-0.000883442;0.00199069;-0.000747495;0;0.1;0.600194;0;
2.42145;2.42144;-0.00734407;0.242145;0.242145;0.242144;-0.000734407;0.242144;-0.000734407;0.00198093;-0.000743487;0;0.1;0.586342;0;
2.39291;2.39289;-0.00845067;0.239291;0.239291;0.239289;-0.000845067;0.239289;-0.000845067;0.00197128;-0.000739479;0;0.1;0.5726;0;
2.36435;2.36432;-0.0101397;0.236435;0.236435;0.236432;-0.00101397;0.236432;-0.00101397;0.00196175;-0.000735471;0;0.1;0.559013;0;
2.33579;2.33576;-0.0118288;0.233579;0.233579;0.233576;-0.00118288;0.233576;-0.00118288;0.00195233;-0.000731463;0;0.1;0.545589;0;
2.30723;2.30719;-0.0135178;0.230723;0.230723;0.230719;-0.00135178;0.230719;-0.00135178;0.00194302;-0.000727455;0;0.1;0.53233;0;
