Er;Erx;Ery;Jr;Jrc;Jrcx;Jrcy;Jrx;Jry;V;X;Y;gamma;pj;t;
0.595171;0.595166;0.00233487;0.0595171;0.0595171;0.0595166;0.000233487;0.0595166;0.000233487;0.00265782;-0.00057515;0;0.1;0.0354229;0;
0.580508;0.580505;0.00186408;0.0580508;0.0580508;0.0580505;0.000186408;0.0580505;0.000186408;0.00265547;-0.000571142;0;0.1;0.0336989;0;
0.565845;0.565843;0.00139328;0.0565845;0.0565845;0.0565843;0.000139328;0.0565843;0.000139328;0.00265317;-0.000567134;0;0.1;0.0320181;0;
0.551183;0.551182;0.000922491;0.0551183;0.0551183;0.0551182;9.22491e-05;0.0551182;9.22491e-05;0.00265093;-0.000563126;0;0.1;0.0303802;0;
0.536521;0.536521;0.000451698;0.0536521;0.0536521;0.0536521;4.51698e-05;0.0536521;4.51698e-05;0.00264875;-0.000559118;0;0.1;0.0287854;0;
0.527155;0.527154;0.000899459;0.0527155;0.0527155;0.0527154;8.99459e-05;0.0527154;8.99459e-05;0.00264662;-0.00055511;0;0.1;0.0277893;0;
0.516798;0.516798;0.000395527;0.0516798;0.0516798;0.0516798;3.95527e-05;0.0516798;3.95527e-05;0.00264453;-0.000551102;0;0.1;0.0267081;0;
0.506442;0.506442;-0.000108406;0.0506442;0.0506442;0.0506442;-1.08406e-05;0.0506442;-1.08406e-05;0.00264248;-0.000547094;0;0.1;0.0256484;0;
0.496086;0.496086;-0.000612339;0.0496086;0.0496086;0.0496086;-6.12339e-05;0.0496086;-6.12339e-05;0.00264047;-0.000543086;0;0.1;0.0246102;0;
0.485731;0.48573;-0.00111627;0.0485731;0.0485731;0.048573;-0.000111627;0.048573;-0.000111627;0.0026385;-0.000539078;0;0.1;0.0235935;0;
0.475377;0.475374;-0.00162021;0.0475377;0.0475377;0.0475374;-0.000162021;0.0475374;-0.000162021;0.00263658;-0.00053507;0;0.1;0.0225983;0;
0.465023;0.465018;-0.00212414;0.0465023;0.0465023;0.0465018;-0.000212414;0.0465018;-0.000212414;0.00263469;-0.000531062;0;0.1;0.0216246;0;
0.454669;0.454662;-0.00262807;0.0454669;0.0454669;0.0454662;-0.000262807;0.0454662;-0.000262807;0.00263285;-0.000527054;0;0.1;0.0206724;0;
0.444316;0.444305;-0.003132;0.0444316;0.0444316;0.0444305;-0.0003132;0.0444305;-0.0003132;0.00263105;-0.000523046;0;0.1;0.0197417;0;
0.437509;0.43746;-0.00651105;0.0437509;0.0437509;0.043746;-0.000651105;0.043746;-0.000651105;0.00262929;-0.000519038;0;0.1;0.0191414;0;
0.426259;0.426229;-0.00504884;0.0426259;0.0426259;0.0426229;-0.000504884;0.0426229;-0.000504884;0.00262756;-0.00051503;0;0.1;0.0181697;0;
0.415013;0.414998;-0.00358664;0.0415013;0.0415013;0.0414998;-0.000358664;0.0414998;-0.000358664;0.00262587;-0.000511022;0;0.1;0.0172236;0;
0.403772;0.403767;-0.00212443;0.0403772;0.0403772;0.0403767;-0.000212443;0.0403767;-0.000212443;0.00262423;-0.000507014;0;0.1;0.0163032;0;
0.387378;0.387364;-0.00326276;0.0387378;0.0387378;0.0387364;-0.000326276;0.0387364;-0.000326276;0.00262266;-0.000503006;0;0.1;0.0150062;0;
0.378883;0.378874;-0.00257849;0.0378883;0.0378883;0.0378874;-0.000257849;0.0378874;-0.000257849;0.00262112;-0.000498998;0;0.1;0.0143552;0;
0.370388;0.370383;-0.00189423;0.0370388;0.0370388;0.0370383;-0.000189423;0.0370383;-0.000189423;0.00261962;-0.00049499;0;0.1;0.0137187;0;
0.361895;0.361893;-0.00120997;0.0361895;0.0361895;0.0361893;-0.000120997;0.0361893;-0.000120997;0.00261815;-0.000490982;0;0.1;0.0130968;0;
0.353403;0.353403;-0.000525705;0.0353403;0.0353403;0.0353403;-5.25705e-05;0.0353403;-5.25705e-05;0.00261672;-0.000486974;0;0.1;0.0124894;0;
0.344912;0.344912;0.000158558;0.0344912;0.0344912;0.0344912;1.58558e-05;0.0344912;1.58558e-05;0.00261532;-0.000482966;0;0.1;0.0118965;0;
0.336423;0.336422;0.000842821;0.0336423;0.0336423;0.0336422;8.42821e-05;0.0336422;8.42821e-05;0.00261395;-0.000478958;0;0.1;0.0113181;0;
0.327935;0.327932;0.00152708;0.0327935;0.0327935;0.0327932;0.000152708;0.0327932;0.000152708;0.00261262;-0.00047495;0;0.1;0.0107542;0;
0.319449;0.319441;0.00221135;0.0319449;0.0319449;0.0319441;0.000221135;0.0319441;0.000221135;0.00261133;-0.000470942;0;0.1;0.0102048;0;
0.310964;0.310951;0.00289561;0.0310964;0.0310964;0.0310951;0.000289561;0.0310951;0.000289561;0.00261006;-0.000466934;0;0.1;0.00966989;0;
0.302482;0.302461;0.00357987;0.0302482;0.0302482;0.0302461;0.000357987;0.0302461;0.000357987;0.00260883;-0.000462926;0;0.1;0.00914953;0;
0.294001;0.29397;0.00426414;0.0294001;0.0294001;0.029397;0.000426414;0.029397;0.000426414;0.00260764;-0.000458918;0;0.1;0.00864367;0;
0.285523;0.28548;0.0049484;0.0285523;0.0285523;0.028548;0.00049484;0.028548;0.00049484;0.00260648;-0.00045491;0;0.1;0.00815233;0;
