Er;Erx;Ery;Jr;Jrc;Jrcx;Jrcy;Jrx;Jry;V;X;Y;gamma;pj;t;
1.02333;-1.02333;-0.000801358;0.102333;0.102333;-0.102333;-8.01358e-05;-0.102333;-8.01358e-05;0.000826297;-0.000751503;0;0.1;0.10472;0;
1.02114;-1.02114;-0.000676621;0.102114;0.102114;-0.102114;-6.76621e-05;-0.102114;-6.76621e-05;0.000830394;-0.000747495;0;0.1;0.104273;0;
1.01896;-1.01896;-0.000551883;0.101896;0.101896;-0.101896;-5.51883e-05;-0.101896;-5.51883e-05;0.000834483;-0.000743487;0;0.1;0.103828;0;
1.01679;-1.01679;-0.000695865;0.101679;0.101679;-0.101679;-6.95865e-05;-0.101679;-6.95865e-05;0.000838562;-0.000739479;0;0.1;0.103385;0;
1.01461;-1.01461;-0.000821632;0.101461;0.101461;-0.101461;-8.21632e-05;-0.101461;-8.21632e-05;0.000842633;-0.000735471;0;0.1;0.102944;0;
1.01244;-1.01244;-0.000947398;0.101244;0.101244;-0.101244;-9.47398e-05;-0.101244;-9.47398e-05;0.000846695;-0.000731463;0;0.1;0.102504;0;
1.01027;-1.01027;-0.00107316;0.101027;0.101027;-0.101027;-0.000107316;-0.101027;-0.000107316;0.000850749;-0.000727455;0;0.1;0.102064;0;
1.0081;-1.0081;-0.00119893;0.10081;0.10081;-0.10081;-0.000119893;-0.10081;-0.000119893;0.000854794;-0.000723447;0;0.1;0.101626;0;
1.00592;-1.00592;-0.0013247;0.100592;0.100592;-0.100592;-0.00013247;-0.100592;-0.00013247;0.00085883;-0.000719439;0;0.1;0.101188;0;
1.00375;-1.00375;-0.00145046;0.100375;0.100375;-0.100375;-0.000145046;-0.100375;-0.000145046;0.000862857;-0.000715431;0;0.1;0.100752;0;
1.00158;-1.00158;-0.00157623;0.100158;0.100158;-0.100158;-0.000157623;-0.100158;-0.000157623;0.000866876;-0.000711423;0;0.1;0.100316;0;
0.999407;-0.999406;-0.001702;0.0999407;0.0999407;-0.0999406;-0.0001702;-0.0999406;-0.0001702;0.000870886;-0.000707415;0;0.1;0.0998815;0;
0.995938;-0.995938;0.000324461;0.0995938;0.0995938;-0.0995938;3.24461e-05;-0.0995938;3.24461e-05;0.000874882;-0.000703407;0;0.1;0.0991893;0;
0.993388;-0.993388;0.000309237;0.0993388;0.0993388;-0.0993388;3.09237e-05;-0.0993388;3.09237e-05;0.000878869;-0.000699399;0;0.1;0.098682;0;
0.990838;-0.990838;0.000294014;0.0990838;0.0990838;-0.0990838;2.94014e-05;-0.0990838;2.94014e-05;0.000882845;-0.000695391;0;0.1;0.0981759;0;
0.988287;-0.988287;0.00027879;0.0988287;0.0988287;-0.0988287;2.7879e-05;-0.0988287;2.7879e-05;0.000886812;-0.000691383;0;0.1;0.0976712;0;
0.985737;-0.985737;0.000263567;0.0985737;0.0985737;-0.0985737;2.63567e-05;-0.0985737;2.63567e-05;0.000890768;-0.000687375;0;0.1;0.0971677;0;
0.983186;-0.983186;0.000248343;0.0983186;0.0983186;-0.0983186;2.48343e-05;-0.0983186;2.48343e-05;0.000894713;-0.000683367;0;0.1;0.0966655;0;
0.980636;-0.980636;0.00023312;0.0980636;0.0980636;-0.0980636;2.3312e-05;-0.0980636;2.3312e-05;0.000898649;-0.000679359;0;0.1;0.0961647;0;
0.978085;-0.978085;0.000217896;0.0978085;0.0978085;-0.0978085;2.17896e-05;-0.0978085;2.17896e-05;0.000902574;-0.000675351;0;0.1;0.0956651;0;
0.975535;-0.975535;0.000202673;0.0975535;0.0975535;-0.0975535;2.02673e-05;-0.0975535;2.02673e-05;0.000906489;-0.000671343;0;0.1;0.0951669;0;
0.972985;-0.972985;0.000187449;0.0972985;0.0972985;-0.0972985;1.87449e-05;-0.0972985;1.87449e-05;0.000910394;-0.000667335;0;0.1;0.0946699;0;
0.970434;-0.970434;0.000172226;0.0970434;0.0970434;-0.0970434;1.72226e-05;-0.0970434;1.72226e-05;0.000914289;-0.000663327;0;0.1;0.0941743;0;
0.967884;-0.967884;0.000157003;0.0967884;0.0967884;-0.0967884;1.57003e-05;-0.0967884;1.57003e-05;0.000918173;-0.000659319;0;0.1;0.0936799;0;
0.965206;-0.965206;0.000123015;0.0965206;0.0965206;-0.0965206;1.23015e-05;-0.0965206;1.23015e-05;0.000922047;-0.000655311;0;0.1;0.0931623;0;
0.96193;-0.96193;9.6017e-05;0.096193;0.096193;-0.096193;9.6017e-06;-0.096193;9.6017e-06;0.000925909;-0.000651303;0;0.1;0.0925309;0;
0.958654;-0.958654;6.90188e-05;0.0958654;0.0958654;-0.0958654;6.90188e-06;-0.0958654;6.90188e-06;0.000929758;-0.000647295;0;0.1;0.0919017;0;
0.955378;-0.955378;4.20206e-05;0.0955378;0.0955378;-0.0955378;4.20206e-06;-0.0955378;4.20206e-06;0.000933594;-0.000643287;0;0.1;0.0912747;0;
0.952102;-0.952102;1.50224e-05;0.0952102;0.0952102;-0.0952102;1.50224e-06;-0.0952102;1.50224e-06;0.000937416;-0.000639279;0;0.1;0.0906498;0;
0.948826;-0.948826;-1.19758e-05;0.0948826;0.0948826;-0.0948826;-1.19758e-06;-0.0948826;-1.19758e-06;0.000941226;-0.000635271;0;0.1;0.090027;0;
0.94555;-0.94555;-3.8974e-05;0.094555;0.094555;-0.094555;-3.8974e-06;-0.094555;-3.8974e-06;0.000945022;-0.000631263;0;0.1;0.0894064;0;
0.942274;-0.942274;-6.59722e-05;0.0942274;0.0942274;-0.0942274;-6.59722e-06;-0.0942274;-6.59722e-06;0.000948805;-0.000627255;0;0.1;0.088788;0;
0.938998;-0.938998;-9.29703e-05;0.0938998;0.0938998;-0.0938998;-9.29703e-06;-0.0938998;-9.29703e-06;0.000952575;-0.000623246;0;0.1;0.0881717;0;
0.935722;-0.935722;-0.000119969;0.0935722;0.0935722;-0.0935722;-1.19969e-05;-0.0935722;-1.19969e-05;0.000956332;-0.000619238;0;0.1;0.0875575;0;
0.932446;-0.932446;-0.000146967;0.0932446;0.0932446;-0.0932446;-1.46967e-05;-0.0932446;-1.46967e-05;0.000960076;-0.00061523;0;0.1;0.0869455;0;
0.928324;-0.928324;-0.000817846;0.0928324;0.0928324;-0.0928324;-8.17846e-05;-0.0928324;-8.17846e-05;0.000963806;-0.000611222;0;0.1;0.0861786;0;
0.925252;-0.925251;-0.000454328;0.0925252;0.0925252;-0.0925251;-4.54328e-05;-0.0925251;-4.54328e-05;0.000967521;-0.000607214;0;0.1;0.085609;0;
0.923499;-0.923499;-0.000573423;0.0923499;0.0923499;-0.0923499;-5.73423e-05;-0.0923499;-5.73423e-05;0.000971228;-0.000603206;0;0.1;0.0852851;0;
0.91895;-0.918949;0.000847262;0.091895;0.091895;-0.0918949;8.47262e-05;-0.0918949;8.47262e-05;0.000974921;-0.000599198;0;0.1;0.0844468;0;
0.915526;-0.915526;0.000774318;0.0915526;0.0915526;-0.0915526;7.74318e-05;-0.0915526;7.74318e-05;0.000978598;-0.00059519;0;0.1;0.0838188;0;
0.912102;-0.912102;0.000701375;0.0912102;0.0912102;-0.0912102;7.01375e-05;-0.0912102;7.01375e-05;0.00098226;-0.000591182;0;0.1;0.083193;0;
0.908678;-0.908678;0.000628431;0.0908678;0.0908678;-0.0908678;6.28431e-05;-0.0908678;6.28431e-05;0.000985909;-0.000587174;0;0.1;0.0825696;0;
0.905255;-0.905255;0.000555487;0.0905255;0.0905255;-0.0905255;5.55487e-05;-0.0905255;5.55487e-05;0.000989544;-0.000583166;0;0.1;0.0819486;0;
0.901831;-0.901831;0.000482544;0.0901831;0.0901831;-0.0901831;4.82544e-05;-0.0901831;4.82544e-05;0.000993166;-0.000579158;0;0.1;0.0813299;0;
0.898407;-0.898407;0.0004096;0.0898407;0.0898407;-0.0898407;4.096e-05;-0.0898407;4.096e-05;0.000996773;-0.00057515;0;0.1;0.0807136;0;
0.894984;-0.894984;0.000336657;0.0894984;0.0894984;-0.0894984;3.36657e-05;-0.0894984;3.36657e-05;0.00100037;-0.000571142;0;0.1;0.0800996;0;
0.89156;-0.89156;0.000263713;0.089156;0.089156;-0.089156;2.63713e-05;-0.089156;2.63713e-05;0.00100395;-0.000567134;0;0.1;0.0794879;0;
0.888136;-0.888136;0.000190769;0.0888136;0.0888136;-0.0888136;1.90769e-05;-0.0888136;1.90769e-05;0.00100751;-0.000563126;0;0.1;0.0788786;0;
0.884713;-0.884713;0.000117826;0.0884713;0.0884713;-0.0884713;1.17826e-05;-0.0884713;1.17826e-05;0.00101107;-0.000559118;0;0.1;0.0782716;0;
0.880503;-0.880503;0.000158505;0.0880503;0.0880503;-0.0880503;1.58505e-05;-0.0880503;1.58505e-05;0.00101461;-0.00055511;0;0.1;0.0775286;0;
0.876274;-0.876274;5.8695e-05;0.0876274;0.0876274;-0.0876274;5.8695e-06;-0.0876274;5.8695e-06;0.00101813;-0.000551102;0;0.1;0.0767856;0;
0.872045;-0.872045;-4.1115e-05;0.0872045;0.0872045;-0.0872045;-4.1115e-06;-0.0872045;-4.1115e-06;0.00102163;-0.000547094;0;0.1;0.0760462;0;
0.867815;-0.867815;-0.000140925;0.0867815;0.0867815;-0.0867815;-1.40925e-05;-0.0867815;-1.40925e-05;0.00102512;-0.000543086;0;0.1;0.0753103;0;
0.863586;-0.863586;-0.000240735;0.0863586;0.0863586;-0.0863586;-2.40735e-05;-0.0863586;-2.40735e-05;0.00102859;-0.000539078;0;0.1;0.0745781;0;
0.859357;-0.859357;-0.000340545;0.0859357;0.0859357;-0.0859357;-3.40545e-05;-0.0859357;-3.40545e-05;0.00103204;-0.00053507;0;0.1;0.0738494;0;
0.855127;-0.855127;-0.000440355;0.0855127;0.0855127;-0.0855127;-4.40355e-05;-0.0855127;-4.40355e-05;0.00103547;-0.000531062;0;0.1;0.0731243;0;
0.850898;-0.850898;-0.000540165;0.0850898;0.0850898;-0.0850898;-5.40165e-05;-0.0850898;-5.40165e-05;0.00103889;-0.000527054;0;0.1;0.0724028;0;
0.846669;-0.846669;-0.000639975;0.0846669;0.0846669;-0.0846669;-6.39975e-05;-0.0846669;-6.39975e-05;0.0010423;-0.000523046;0;0.1;0.0716848;0;
0.841511;-0.84151;-0.0015037;0.0841511;0.0841511;-0.084151;-0.00015037;-0.084151;-0.00015037;0.00104568;-0.000519038;0;0.1;0.0708141;0;
0.837496;-0.837496;-0.00116569;0.0837496;0.0837496;-0.0837496;-0.000116569;-0.0837496;-0.000116569;0.00104904;-0.00051503;0;0.1;0.07014;0;
0.833482;-0.833481;-0.000827676;0.0833482;0.0833482;-0.0833481;-8.27676e-05;-0.0833481;-8.27676e-05;0.00105239;-0.000511022;0;0.1;0.0694692;0;
0.829467;-0.829467;-0.000489667;0.0829467;0.0829467;-0.0829467;-4.89667e-05;-0.0829467;-4.89667e-05;0.00105573;-0.000507014;0;0.1;0.0688016;0;
0.826632;-0.826632;-0.000743733;0.0826632;0.0826632;-0.0826632;-7.43733e-05;-0.0826632;-7.43733e-05;0.00105905;-0.000503006;0;0.1;0.0683321;0;
0.821938;-0.821938;-0.00056867;0.0821938;0.0821938;-0.0821938;-5.6867e-05;-0.0821938;-5.6867e-05;0.00106235;-0.000498998;0;0.1;0.0675583;0;
0.817245;-0.817245;-0.000393606;0.0817245;0.0817245;-0.0817245;-3.93606e-05;-0.0817245;-3.93606e-05;0.00106564;-0.00049499;0;0.1;0.0667889;0;
0.812551;-0.812551;-0.000218543;0.0812551;0.0812551;-0.0812551;-2.18543e-05;-0.0812551;-2.18543e-05;0.0010689;-0.000490982;0;0.1;0.0660239;0;
0.807857;-0.807857;-4.34792e-05;0.0807857;0.0807857;-0.0807857;-4.34792e-06;-0.0807857;-4.34792e-06;0.00107215;-0.000486974;0;0.1;0.0652633;0;
